SK_ID_CURR,FLAG_OWN_CAR,FLAG_PHONE,EXT_SOURCE_2,EXT_SOURCE_3,NAME_INCOME_TYPE_Stateservant,NAME_INCOME_TYPE_Working,NAME_EDUCATION_TYPE_Highereducation,NAME_EDUCATION_TYPE_Secondarysecondaryspecial,OCCUPATION_TYPE_Laborers,OCCUPATION_TYPE_Managers,ORGANIZATION_TYPE_XNA,HOUSETYPE_MODE_blockofflats,WALLSMATERIAL_MODE_Panel,EMERGENCYSTATE_MODE_No,BURO_DAYS_CREDIT_MIN,BURO_CREDIT_ACTIVE_Active_MEAN,CC_MONTHS_BALANCE_MIN,CC_AMT_BALANCE_MEAN,CC_AMT_RECEIVABLE_PRINCIPAL_MEAN,CC_NAME_CONTRACT_STATUS_Completed_MAX
125919,0.0,0.0,0.5587714215266639,0.6430255641096323,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2330.0,0.3333333333333333,-22.0,99532.36840909092,94436.1265909091,1.0
345712,1.0,0.0,0.0526222514244705,0.5620604831738043,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,-518.0,0.3333333333333333,-75.0,0.0,0.0,0.0
205612,0.0,1.0,0.6951588982355151,0.5226973172821112,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,-2594.0,0.0,-41.0,0.0,0.0,0.0
201573,1.0,0.0,0.2858978721410488,0.6925590674998008,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1068.0,0.0,-6.0,235125.8175,224224.35,0.0
341195,0.0,0.0,0.2128470349050402,0.6706517530862718,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2249.0,0.375,-9.0,0.0,0.0,0.0
138282,1.0,0.0,0.5810649309715363,0.5226973172821112,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,-847.0,1.0,-13.0,0.0,0.0,1.0
314819,1.0,0.0,0.5637362072352043,0.8193176922872417,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2528.0,0.0,-21.0,0.0,0.0,0.0
253461,0.0,0.0,0.2656614172757101,0.1061556230153924,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,-2907.0,1.0,-24.0,155699.769375,152205.511875,0.0
277692,0.0,0.0,0.5171666526083986,0.6161216908872079,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2376.0,0.3333333333333333,-26.0,63688.3776,62093.77559999999,0.0
207130,0.0,0.0,0.7431197568648654,0.1841161559307151,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,-771.0,0.5555555555555556,-9.0,172761.325,169898.46000000002,0.0
322953,1.0,0.0,0.5189519934353019,0.2622489709189549,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-1703.0,0.3333333333333333,-31.0,199679.5814516129,192582.6706451613,1.0
275326,0.0,0.0,0.5932982110973886,0.6397075677637197,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-473.0,1.0,-90.0,11621.8565,11101.9695,0.0
353678,1.0,0.0,0.0371999320412881,0.7062051096536562,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,-1109.0,0.0,-84.0,7090.904819277108,6777.312289156627,0.0
417050,1.0,0.0,0.5215172205708977,0.5226973172821112,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,-2911.0,1.0,-9.0,89856.845,88073.20000000001,0.0
141796,0.0,0.0,0.6340288328908185,0.6313545365850379,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-945.0,1.0,-8.0,0.0,0.0,0.0
198164,0.0,0.0,0.1923160541736026,0.5797274227921155,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,-2838.0,0.5833333333333334,-8.0,139384.794375,135889.453125,0.0
380246,0.0,0.0,0.684505904124196,0.6161216908872079,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,-1585.0,0.1666666666666666,-47.0,35609.12234042553,33943.365,0.0
256930,1.0,0.0,0.2977231088177932,0.7407990879702335,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1841.0,0.0,-12.0,0.0,0.0,0.0
195660,0.0,0.0,0.6252736201590439,0.5495965024956946,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-2753.0,0.2,-96.0,1838.396489361702,1769.480425531915,1.0
184439,0.0,0.0,0.6583691457943919,0.3774042489507649,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,-880.0,0.25,-23.0,55426.46727272728,54427.79863636364,0.0
227976,0.0,0.0,0.2712527375990962,0.221335206354466,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1151.0,0.6666666666666666,-16.0,0.0,0.0,0.0
318704,1.0,1.0,0.2034661216995436,0.5226973172821112,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,-2393.0,1.0,-8.0,0.0,0.0,0.0
